Timestamp   BTC-candle.max-01-hs-1   BTC-candle.min-01-hs-1   BTC-candle.open-01-hs-1   BTC-candle.close-01-hs-1   BTC-volume.total-01-hs-1
1578214800000   7436.84   7400   7430   7427.74   2072.537095
1578218400000   7432.28   7403.21   7427.7   7415.12   995.14421
1578222000000   7440   7410   7415.1   7422.33   1001.5176190000001
1578225600000   7460.46   7421.93   7422.27   7457.01   1079.5612629999996
1578229200000   7458   7415   7457.79   7431.15   1337.5710839999997
1578232800000   7444.73   7425   7431.16   7431.82   831.7875600000001
1578236400000   7476.31   7430.99   7431.71   7468.42   1839.988518
1578240000000   7484   7450   7467.91   7461.38   1764.362509
1578243600000   7470.76   7445.15   7461.26   7464.65   904.2758759999998
1578247200000   7468.87   7421.77   7464.62   7438.72   1226.7602440000003
1578250800000   7449.69   7427.1   7439.02   7444.14   952.3759799999999
1578254400000   7445   7426   7444.71   7431.6   687.7714230000003
1578258000000   7431.53   7361.01   7431.01   7368.52   2225.194358
1578261600000   7385.65   7318   7367.62   7355.73   2249.586037
1578265200000   7363.35   7321   7355.73   7358.75   1388.41772
1578268800000   7384.72   7346.76   7357.64   7378.75   1358.8677870000004
1578272400000   7426.82   7368.55   7378.97   7423.5   1630.2275409999997
1578276000000   7562   7421.64   7423.06   7551.44   5819.256972000001
1578279600000   7580   7486.85   7551.47   7540.9   4769.906355999999
1578283200000   7554.61   7516.06   7540.9   7529.52   1554.5824609999997
1578286800000   7541.55   7496   7529.52   7532.85   1472.9199299999996
1578290400000   7537.53   7510.99   7532.85   7520   873.32937
1578294000000   7527.27   7505.57   7520   7507.91   921.8863940000002
1578297600000   7551.68   7507.39   7508.18   7547.55   1690.8577980000005
1578301200000   7553   7516.51   7547.88   7550.78   2074.1058759999996
1578304800000   7576.68   7535.64   7550.84   7561.22   1912.7286929999998
1578308400000   7582.27   7526.88   7561.27   7544.72   2149.635226
1578312000000   7566.24   7535   7544.72   7557.42   1484.6135940000001
1578315600000   7622   7465.44   7557.77   7528.64   3698.1408420000002
1578319200000   7558.45   7505.02   7528.59   7547.93   2383.7456110000003
1578322800000   7553.28   7516.34   7548.1   7519.99   1644.3938770000004
1578326400000   7546.08   7509.43   7519.05   7529.24   1626.3554170000002
1578330000000   7561   7526.91   7529.01   7558.48   1102.9985220000003
1578333600000   7560   7525.96   7558.78   7533   910.9673059999999
1578337200000   7551.71   7524   7532.5   7539.9   863.252634
1578340800000   7557.99   7534.9   7539.74   7551.25   978.3429120000001
1578344400000   7608   7547.56   7551.24   7578.42   2101.5776669999996
1578348000000   7752   7574.39   7578.42   7712.63   6546.730323000001
1578351600000   7795.34   7690.7   7712.58   7758   5066.272207000001
1578355200000   8000   7758.29   7758.9   7888.42   12714.830705999999
1578358800000   7919.99   7866.01   7889.64   7905.67   3784.6066960000003
1578362400000   7940   7892.32   7905.67   7896.2   2658.470846
1578366000000   7916.94   7885.75   7896.08   7894.9   1811.5283300000003
1578369600000   7905.5   7821   7894.71   7840.83   3265.389555999999
1578373200000   7882.56   7826.63   7839.75   7869.33   1749.120728
1578376800000   7876   7851.26   7869.29   7872.91   1034.3711429999998
1578380400000   7896.72   7857.53   7873.05   7883.37   1730.8077360000004
1578384000000   7904.72   7868   7883.11   7883.97   2060.945511000001
1578387600000   7886.17   7855   7884.32   7856.26   1266.1819760000003
1578391200000   7889.78   7856.15   7856.26   7889.24   1164.5664249999995
1578394800000   7965   7881.69   7888.12   7895.14   4207.107583999999
1578398400000   7915.77   7840   7895.13   7869.05   3167.803362000001
1578402000000   7869.03   7810.73   7869.02   7847.99   2935.8567400000006
1578405600000   7884.59   7837.26   7847.99   7838.8   2419.777007
1578409200000   7847.99   7740.29   7841.16   7764.59   5292.2021509999995
1578412800000   7940.12   7723.71   7764.04   7912.18   6410.882075000001
1578416400000   7952.05   7878.01   7912.18   7938.33   3293.0061370000008
1578420000000   8137   7919.22   7937.88   8037.69   9327.807487
1578423600000   8111.45   8032.39   8038.54   8073.69   4283.208683999999
1578427200000   8175.01   8041.28   8073.69   8162.66   4404.727667
1578430800000   8188   7975.74   8162.57   8016.44   5116.55768
1578434400000   8067.06   7945.72   8016.43   8049.55   3088.5333900000005
1578438000000   8207.68   8020.7   8049.83   8145.28   3983.3950440000012
1578441600000   8455   8142   8145.92   8431.82   12579.628056999996
1578445200000   8448.14   8328.89   8430.53   8370.92   8384.945558
1578448800000   8422   8256.74   8370.93   8278.59   4558.246275999999
1578452400000   8344   8244.93   8278.07   8300.34   4359.947687000001
1578456000000   8355.87   8288   8300.34   8344.63   2575.2223959999988
1578459600000   8377   8307.85   8343.92   8334.77   2664.2778690000005
1578463200000   8367.61   8319   8334.76   8339.13   1731.9434539999995
1578466800000   8347.99   8277.21   8339.14   8297.26   2788.142801
1578470400000   8329.09   8264.86   8297.27   8312.04   2508.7270509999994
1578474000000   8321.83   8276   8312.05   8297.21   2091.834391
1578477600000   8359   8284.19   8296.98   8326.98   2380.6747850000006
1578481200000   8370   8325.03   8327.06   8332.47   2034.529797
1578484800000   8347.33   8276   8332.2   8286.16   2426.854154
